# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1283
#@/user_id	945c0063-a64b-43b4-94e6-372738e7012b
a 	阿	c=1 d=1 t=829
shi shui 	是谁	c=1 d=1 t=1112
shi yong 	使用	c=2 d=1.02352 t=1263
shi zhun bei 	是准备	c=1 d=1 t=729
shou 	瘦	c=1 d=0.512099 t=1283
shou ji 	手机	c=1 d=0.806541 t=1283
shu ju 	数据	c=1 d=1 t=1209
shu lian 	熟练	c=1 d=1 t=1015
shu ru 	输入	c=7 d=4.69637 t=789
shu ru fa 	输入法	c=23 d=6.7092 t=1283
shu xu 	鼠须	c=0 d=0.1 t=899
shu xu guan 	鼠须管	c=1 d=1 t=900
shua shi pin 	刷视频	c=1 d=1 t=938
shuang chi 	爽吃	c=1 d=1 t=986
shuang pin 	双拼	c=1 d=1 t=1095
shuang shuang 	爽爽	c=4 d=2.74177 t=1134
shui da jiao 	睡大觉	c=1 d=1 t=438
shui de 	谁的	c=1 d=1 t=510
shui de zen me yang 	睡得怎么样	c=1 d=1 t=458
shui le 	睡了	c=1 d=1 t=1119
shui shui 	睡睡	c=1 d=0.331078 t=1113
shui shui ju 	睡睡居	c=1 d=1 t=1114
shui xing le 	睡醒了	c=1 d=1 t=447
shuo 	说	c=1 d=0.786628 t=1283
shuo le 	说了	c=1 d=1 t=432
si ge 	四个	c=1 d=1 t=915
si ling fa shi 	死灵法师	c=1 d=1 t=442
si ma 	司马	c=0 d=0.0918512 t=1283
si ma xian 	司马仙	c=2 d=0.923116 t=1283
si suo 	思索	c=2 d=0.386771 t=1283
sou ga 	搜噶	c=3 d=0.67032 t=1283
sou gou 	搜狗	c=2 d=1.63128 t=908
sou ti 	搜题	c=1 d=1 t=1217
sui ran 	虽然	c=1 d=0.579842 t=1283
suo yi 	所以	c=1 d=1 t=903
ta 	它	c=1 d=1 t=905
ta de 	它的	c=1 d=1 t=926
ta ke fu 	塔科夫	c=1 d=1 t=746
tai duo 	太多	c=1 d=1 t=1234
teng xun 	腾讯	c=1 d=0.164474 t=1283
ti huan 	替换	c=1 d=1 t=1156
ti huan cheng 	替换成	c=2 d=1.98511 t=500
ti ku 	题库	c=1 d=1 t=1219
tian tang 	天堂	c=1 d=1 t=860
tiao jian 	条件	c=4 d=3.31469 t=793
tiao tiao 	挑挑	c=1 d=0.404542 t=1283
tie ti 	铁蹄	c=1 d=0.255381 t=1283
ting lao po 	听老婆	c=1 d=0.718924 t=1283
tou chi 	偷吃	c=2 d=0.353455 t=1283
tou chi ju 	偷吃居	c=1 d=1 t=462
tu 	图	c=1 d=1 t=1010
tu ran 	突然	c=1 d=0.571209 t=1283
tuan dui sai 	团队赛	c=1 d=1 t=753
tui 	腿	c=1 d=1 t=855
tui chu 	退出	c=1 d=1 t=925
tuo di 	拖地	c=0 d=0.1 t=821
tuo di shi ke 	拖地时刻	c=1 d=1 t=822
tuo hai 	拖孩	c=1 d=1 t=862
wan dian 	晚点	c=2 d=0.767206 t=1283
wan quan 	完全	c=1 d=0.199888 t=1283
